Category,Month,Longitude,Latitude,Count
Anti_Social,1,-5.219079,50.240646999999996,1
Anti_Social,1,-5.218476,50.236706,4
Anti_Social,1,-5.217494,50.227332,1
Anti_Social,1,-5.216707,50.240209,1
Anti_Social,1,-5.2167069999999995,50.240209,1
Anti_Social,1,-5.215586,50.223571,1
Anti_Social,1,-5.213163,50.244454,2
Anti_Social,1,-5.209646,50.281651,1
Anti_Social,1,-5.209646,50.281651000000004,1
Anti_Social,1,-5.209638,50.282569,1
Anti_Social,1,-5.209018,50.283989,3
Anti_Social,1,-5.207719,50.21875,2
Anti_Social,1,-5.205324,50.311735999999996,1
Anti_Social,1,-5.205324,50.311736,1
Anti_Social,1,-5.204532,50.215762,1
Anti_Social,1,-5.203672,50.282158,2
Anti_Social,1,-5.201974,50.215464,1
Anti_Social,1,-5.20158,50.216689,1
Anti_Social,1,-5.196913,50.256319,1
Anti_Social,1,-5.1969129999999994,50.256319,1
Anti_Social,1,-5.196016,50.254445,1
Anti_Social,1,-5.196016,50.254445000000004,1
Anti_Social,1,-5.190331,50.238031,1
Anti_Social,1,-5.185425,49.994381,1
Anti_Social,1,-5.184718,50.239049,1
Anti_Social,1,-5.184697,50.237691,1
Anti_Social,1,-5.181535,50.236536,2
Anti_Social,1,-5.18129,50.270125,1
Anti_Social,1,-5.179819,50.232472,1
Anti_Social,1,-5.179479,50.230727,3
Anti_Social,1,-5.176325,50.229069,2
Anti_Social,1,-5.171406,50.117293,2
Anti_Social,1,-5.168233,50.232654,1
Anti_Social,1,-5.166932,50.238627,1
Anti_Social,1,-5.159949,50.336926,3
Anti_Social,1,-5.154646,50.343016,1
Anti_Social,1,-5.150342,50.339796,1
Anti_Social,1,-5.148795,50.346584,1
Anti_Social,1,-5.144504,50.334628,1
Anti_Social,1,-5.13335,50.1648,3
Anti_Social,1,-5.128384,50.170233,5
Anti_Social,1,-5.127856,50.166442,2
Anti_Social,1,-5.1278559999999995,50.166441999999996,1
Anti_Social,1,-5.124162999999999,50.188608,1
Anti_Social,1,-5.1241629999999985,50.188608,1
Anti_Social,1,-5.12287,50.163868,1
Anti_Social,1,-5.122631,50.171368,3
Anti_Social,1,-5.121375,50.106317,4
Anti_Social,1,-5.121134,50.215416999999995,1
Anti_Social,1,-5.121134,50.215417,1
Anti_Social,1,-5.119383999999999,50.261621000000005,2
Anti_Social,1,-5.119383999999998,50.26162100000001,1
Anti_Social,1,-5.118926999999999,50.259771,1
Anti_Social,1,-5.1189269999999985,50.259771,1
Anti_Social,1,-5.118784,50.262951,1
Anti_Social,1,-5.118666,50.167256,1
Anti_Social,1,-5.1172059999999995,50.174312,1
Anti_Social,1,-5.115218,50.171963,1
Anti_Social,1,-5.115004,50.170386,1
Anti_Social,1,-5.1148050000000005,50.376881,2
Anti_Social,1,-5.114096,50.17086,1
Anti_Social,1,-5.113982,50.34092,1
Anti_Social,1,-5.109884,50.399277000000005,1
Anti_Social,1,-5.109884,50.39927700000001,1
Anti_Social,1,-5.1075349999999995,50.410908,1
Anti_Social,1,-5.106783999999999,50.17192,1
Anti_Social,1,-5.106783999999998,50.17192,1
Anti_Social,1,-5.106737,50.412477,1
Anti_Social,1,-5.105285,50.169971999999994,4
Anti_Social,1,-5.105285,50.169972,3
